horizon_h,threshold,model,base_rate,n_event,alarm_rate,precision,recall,F1,AUC,cut
48,75%(吸湿突变),Climatology(可部署),0.0011,47,0.0007,0.0,0.0,0.0,0.6803,51.316
72,62%(业务预警),Operator-direct(本作品),0.0128,560,0.0202,0.0476,0.075,0.0582,0.7967,46.789
72,62%(业务预警),Ablation-无慢变项,0.0128,560,0.0231,0.0484,0.0875,0.0623,0.7353,44.634
72,62%(业务预警),Ablation-无Magnus项,0.0128,560,0.0174,0.0459,0.0625,0.0529,0.7955,46.658
72,62%(业务预警),Ablation-仅快变延迟,0.0128,560,0.0139,0.0428,0.0464,0.0446,0.7346,45.654
72,62%(业务预警),Ablation-短延迟(12h),0.0128,560,0.0268,0.0605,0.1268,0.0819,0.7935,46.356
72,62%(业务预警),FirstOrderTransfer-直接传递(初稿形式),0.0128,560,0.0121,0.0415,0.0393,0.0404,0.689,62.204
72,62%(业务预警),FirstOrderTransfer-仅外场滞后(初稿原文),0.0128,560,0.0056,0.0861,0.0375,0.0522,0.8958,48.867
72,62%(业务预警),FirstOrderTransfer-递归推演(不稳定极点),0.0128,560,0.0,0.0,0.0,0.0,0.5,22.068
72,62%(业务预警),RidgeDirect(无延迟嵌入),0.0128,560,0.0104,0.0285,0.0232,0.0256,0.6122,54.955
72,62%(业务预警),Persistence-operator(可部署),0.0128,560,1.0,0.0128,1.0,0.0253,0.4997,30.719
72,62%(业务预警),[oracle]Persistence(需窟内实测),0.0128,560,0.013,0.0423,0.0429,0.0426,0.709,61.941
72,62%(业务预警),Climatology(可部署),0.0128,560,0.007,0.0,0.0,0.0,0.7278,48.588
72,67%(潮解起始),Operator-direct(本作品),0.0042,186,0.0147,0.0,0.0,0.0,0.7703,47.322
72,67%(潮解起始),Ablation-无慢变项,0.0042,186,0.0166,0.0041,0.0161,0.0066,0.7037,45.22
72,67%(潮解起始),Ablation-无Magnus项,0.0042,186,0.0123,0.0,0.0,0.0,0.7659,47.241
72,67%(潮解起始),Ablation-仅快变延迟,0.0042,186,0.0103,0.0044,0.0108,0.0063,0.7016,46.244
72,67%(潮解起始),Ablation-短延迟(12h),0.0042,186,0.0177,0.0077,0.0323,0.0125,0.7632,47.101
72,67%(潮解起始),FirstOrderTransfer-直接传递(初稿形式),0.0042,186,0.0042,0.0054,0.0054,0.0054,0.6265,67.238
72,67%(潮解起始),FirstOrderTransfer-仅外场滞后(初稿原文),0.0042,186,0.0019,0.0118,0.0054,0.0074,0.902,50.813
72,67%(潮解起始),FirstOrderTransfer-递归推演(不稳定极点),0.0042,186,0.0,0.0,0.0,0.0,0.5,25.608
72,67%(潮解起始),RidgeDirect(无延迟嵌入),0.0042,186,0.0063,0.0,0.0,0.0,0.5428,56.651
72,67%(潮解起始),Persistence-operator(可部署),0.0042,186,1.0,0.0042,1.0,0.0085,0.4997,30.719
72,67%(潮解起始),[oracle]Persistence(需窟内实测),0.0042,186,0.0047,0.0098,0.0108,0.0103,0.65,66.717
72,67%(潮解起始),Climatology(可部署),0.0042,186,0.0038,0.0,0.0,0.0,0.6956,49.737
72,75%(吸湿突变),Operator-direct(本作品),0.0011,47,0.0069,0.0,0.0,0.0,0.7613,48.514
72,75%(吸湿突变),Ablation-无慢变项,0.0011,47,0.0082,0.0,0.0,0.0,0.6834,46.703
72,75%(吸湿突变),Ablation-无Magnus项,0.0011,47,0.0047,0.0,0.0,0.0,0.7567,48.832
72,75%(吸湿突变),Ablation-仅快变延迟,0.0011,47,0.0042,0.0,0.0,0.0,0.6821,47.82
72,75%(吸湿突变),Ablation-短延迟(12h),0.0011,47,0.0068,0.0,0.0,0.0,0.7513,48.607
72,75%(吸湿突变),FirstOrderTransfer-直接传递(初稿形式),0.0011,47,0.001,0.0,0.0,0.0,0.6093,75.479
72,75%(吸湿突变),FirstOrderTransfer-仅外场滞后(初稿原文),0.0011,47,0.0002,0.0,0.0,0.0,0.9347,53.632
72,75%(吸湿突变),FirstOrderTransfer-递归推演(不稳定极点),0.0011,47,0.0,0.0,0.0,0.0,0.5,28.448
72,75%(吸湿突变),RidgeDirect(无延迟嵌入),0.0011,47,0.0011,0.0,0.0,0.0,0.5015,60.751
72,75%(吸湿突变),Persistence-operator(可部署),0.0011,47,1.0,0.0011,1.0,0.0021,0.4997,30.719
72,75%(吸湿突变),[oracle]Persistence(需窟内实测),0.0011,47,0.0011,0.0,0.0,0.0,0.6414,74.799
72,75%(吸湿突变),Climatology(可部署),0.0011,47,0.0007,0.0,0.0,0.0,0.7086,51.316
